No,Title,Author,Journal,Vol,No,Pages,Published_Year
16,腹腔鏡下手術における自動拡大追尾システムの実装,"中口 俊哉, 牧野 治文, 五十嵐 辰男, 上村 健二, 津村 徳道, 三宅 洋一",生体医工学,43,4,685-693,2005
17,超音波モータを用いた直接駆動型人工心臓システムの検討,"柴 建次, 高畑 雅史, 辻 敏夫, 越地 耕二",生体医工学,43,4,677-684,2005
18,光学マッピングにおける心臓興奮伝播の動態解析,"高田 祐平, 山口 喬弘, 荒船 龍彦, 小林 英津子, 神保 泰彦, 佐久間 一郎, 柴田 仁太郎, 本荘 晴朗, 児玉 逸雄",生体医工学,43,4,661-669,2005
19,左心室形成術における切除線決定のための診断法に関する基礎的検討,"植松 美幸, 白石 泰之, 関根 一光, 山家 智之, 西條 芳文, 安藤 隼人, 朴 栄光, 武田 朴, 岩崎 清隆",生体医工学,43,4,653-660,2005
20,人工毛細血管のための生分解性薄膜微細流路成型法 (MeME) の開発,"池内 真志, 生田 幸士",生体医工学,43,4,646-652,2005
21,フェムト秒レーザー3次元微細加工装置による生体外実験用毛細血管モデル作製法の検討,"田地川 勉, 山内 洋平, 中尾 哲士, 大場 謙吉",生体医工学,43,4,638-645,2005
22,日本語複文読解時における統語処理のMEG計測,"渡邊 直輝, 竹内 文也, 栗城 眞也, 萩原 裕子",生体医工学,43,4,631-637,2005
23,受動動作に誘発されるMEGにおよぼす予期の影響,"松林 淳子, 中川 誠司, 外池 光雄, 飯田 健夫",生体医工学,43,4,623-630,2005
24,膝関節角度を参照した筋電図解析によるスキー運動時筋疲労評価システム,"牛山 幸彦, 千明 剛, 村山 敏夫, 木竜 徹",生体医工学,43,4,616-622,2005
25,心筋細胞活動電位数値計算モデルを用いた動物種によるIKrブロッカーに対する感受性の違いに関する検証,"山口 喬弘, 荒船 龍彦, 佐久間 一郎, 寺澤 敏昭, 柴田 仁太郎, 本荘 晴朗, 児玉 逸雄, 神谷 香一郎",生体医工学,43,4,605-615,2005
26,マルチチャネル表面筋電図を用いた第1背側骨間筋の運動単位の形状と位置の推定方法,"赤澤 淳, 佐藤 哲大, 湊 小太郎, 吉田 正樹",生体医工学,43,4,595-604,2005
27,MRガイド下集束超音波による子宮筋腫治療のための自己参照型温度分布画像化法の最適化,"国領 大介, 藤井 進, 熊本 悦子, 貝原 俊也, 黒田 輝",生体医工学,43,4,585-594,2005
28,磁気共鳴画像と反復有限要素解析に基づく生体軟組織の材料定数推定,"多田 充徳, 永井 教崇, 前野 隆司",生体医工学,43,4,578-584,2005
29,Open MRI誘導下脳神経外科手術のためのIntegral Videographyによるイメージオーバーレイナビゲーション,"廖 洪恩, 猪股 崇, 佐久間 一郎, 土肥 健純",生体医工学,43,4,568-577,2005
30,血管内低侵襲治療のための前方視超音波イメージャーの開発,"陳 俊傑, 江刺 正喜, 大城 理, 千原 國宏, 芳賀 洋一",生体医工学,43,4,553-559,2005
31,異なる信号入力を有する人工神経回路群の出力に対する演算処理による特徴的動作の認識法の検討,"渡邉 高志, 藤原 大樹, 村上 肇, 古瀬 則夫, 吉澤 誠, 星宮 望",生体医工学,43,4,544-550,2005
32,圧電式ジャイロスコープを用いた下肢関節角度の簡易計測法,"古瀬 則夫, 渡邉 高志, 星宮 望",生体医工学,43,4,538-543,2005
33,近赤外分光脳機能計測法における波長差分法を用いたベースライン安定化の試み,"山田 亨, 梅山 伸二",生体医工学,43,4,530-537,2005
34,臨床ME専門認定士認定制度の推移と今後の課題,小野 哲章,生体医工学,43,4,528-529,2005
35,第1種ME試験合格者に求められるのはAccountability,石原 謙,生体医工学,43,4,526-527,2005
36,"『合格の要諦は, 合格するまで続けることである』 ME技術実力検定試験に一言“受験サイドより”",中島 章夫,生体医工学,43,4,516-519,2005
37,ME技術実力検定試験合格者に望むこと,嶋津 秀昭,生体医工学,43,4,508-509,2005
38,医療機器メーカの立場から,大庭 和夫,生体医工学,43,4,505-507,2005
39,医療機器メーカの立場から,堀内 邦雄,生体医工学,43,4,503-504,2005
40,研修とME技術実力検定試験,田中 秀明,生体医工学,43,4,500-502,2005
41,一般病院の立場から,吉澤 伸介,生体医工学,43,4,498-499,2005
42,国立医療機関の立場から,目黒 勉,生体医工学,43,4,493-494,2005
43,新規採用臨床工学技士の居場所,吉田 輝彦,生体医工学,43,4,491-492,2005
44,大学病院の立場から,小林 博之,生体医工学,43,4,489-490,2005
45,医療機器に関する東京都の新たな取組,平井 政己,生体医工学,43,4,482-484,2005
46,医療安全への組織構築,三宅 祥三,生体医工学,43,4,479-481,2005
47,ME技術実力検定試験のこれまでの歩みと今後の方向性,稲田 紘,生体医工学,43,4,474-476,2005
48,日本生体医工学会とME技術実力検定試験,堀 正二,生体医工学,43,4,472-473,2005
49,ME技術実力検定試験制度25周年記念特集にあたって,"池田 研二, 加納 隆",生体医工学,43,4,471,2005
50,リレー随筆他,,生体医工学,43,3,461-464,2005
51,心拍変動時系列からの呼吸関連パラメータの推定,"吉田 豊, 横山 清子",生体医工学,43,3,456-460,2005
52,脳波モデルを用いた優位律動の特徴表現と背景脳波の自動判読,"西田 茂人, 中村 政俊, 池田 昭夫, 長峯 隆, 柴崎 浩",生体医工学,43,3,447-455,2005
53,斜角入射型超音波プローブの皮膚方向性検出への適用,"橋本 昌巳, 米澤 義道, 伊東 一典, 松尾 清",生体医工学,43,3,430-436,2005
54,観察角度に依存しない物体認識課題時の事象関連電位,"亀田 俊輔, 末満 圭, 野元 寛之, 鈴木 航, 王 鋼",生体医工学,43,3,424-429,2005
55,統計的識別手法を用いたC型肝炎患者の血液検査データによる病態識別,"青木 一真, 黒柳 奨, 岩田 彰, 山内 一信",生体医工学,43,3,416-423,2005
56,電磁界と生体―電波法の 「電波防護基準」 に関連して―,鈴木 務,生体医工学,43,3,395-405,2005
57,直流磁界による小動物心拍への影響,池田 哲夫,生体医工学,43,3,388-394,2005
58,携帯電話の生体安全性,"多氣 昌生, 渡辺 聡一, 和氣 加奈子",生体医工学,43,3,375-387,2005
59,電磁環境の生体への影響と安全性,古幡 博,生体医工学,43,3,367-368,2005
60,リレー随筆他,,生体医工学,43,2,337-360,2005
61,体内埋込型人工心臓駆動用体外結合型経皮エネルギー伝送システム―経皮トランスのコア接合面のずれとギャップによる結合異常検出―,"山本 隆彦, 越地 耕二, 塚原 金二, 巽 英介, 妙中 義之, 高野 久輝, 柴 建次",生体医工学,43,2,261-267,2005
62,リアルタイム呼吸性洞性不整脈抽出法を用いた作業負荷の制御,"小谷 潔, 斉藤 毅, 立花 誠, 高増 潔",生体医工学,43,2,252-260,2005
63,赤外線通信を用いたコンピュータプログラムによるインテリジェント型薬物放出制御システム,"坂田 尚英, 内田 熊男, 嘉悦 勲",生体医工学,43,2,247-251,2005
64,超音波とDDSを組み合わせたがん治療法,"山田 正敏, 田畑 泰彦",生体医工学,43,2,238-246,2005
65,微小気泡存在下におけるパルス超音波を用いたソノポレーション,"工藤 信樹, 山本 克之",生体医工学,43,2,231-237,2005
66,腹膜透析における腹膜劣化に対する遺伝子治療 : 超音波造影剤によるアプローチ,森 泰清,生体医工学,43,2,227-230,2005
67,超音波による遺伝子治療を目指した基礎的検討,"小川 良平, 鍵谷 豪, 田渕 圭章, 近藤 隆",生体医工学,43,2,216-226,2005
68,マイクロバブルの治療応用,立花 克郎,生体医工学,43,2,211-215,2005
69,音響化学効果を利用した癌治療へのアプローチ,梅村 晋一郎,生体医工学,43,2,203-210,2005
70,経頭蓋超音波脳血栓溶解療法,古幡 博,生体医工学,43,2,197-202,2005
71,超音波の治療への応用,水重 克文,生体医工学,43,2,195-196,2005
72,近赤外分光画像計測法による血中ヘモグロビン濃度の無侵襲測定,"小澤 利行, 浅野 薫, 沼田 成弘, 蓮井 康嗣, 高地 泰浩, 石原 謙",生体医工学,43,1,93-102,2005
73,数値流体力学解析を用いた定常流血液ポンプの改良設計,"矢野 哲也, 見藤 歩, 三田村 好矩, 西村 生哉, 村林 俊, 四津 良平",生体医工学,43,1,85-92,2005
74,冠動脈血管内視鏡による診断と治療への応用,中村 文隆,生体医工学,43,1,8月11日,2005
75,VRシミュレータを目指した生体軟組織の剥離シミュレーション,"粂 直人, 中尾 恵, 黒田 知宏, 吉原 博幸, 小森 優",生体医工学,43,1,76-84,2005
76,白色背景におけるWebセーフカラーに対する視認性の加齢変化,"齋藤 大輔, 斎藤 恵一, 納富 一宏, 斎藤 正男",生体医工学,43,1,68-75,2005
77,心筋細胞活動電位シミュレーションを用いたQT延長メカニズムの検討,"山口 喬弘, 荒船 龍彦, 佐久間 一郎, 大内 克洋, 柴田 仁太郎, 本荘 晴朗, 神谷 香一郎, 児玉 逸雄",生体医工学,43,1,43-49,2005
78,新時代の冠動脈インターベンション―Drug Eluting Stent,石綿 清雄,生体医工学,43,1,36-42,2005
79,カテーテル型NOセンサによる血管内実時間NO計測の意義,望月 精一,生体医工学,43,1,32-35,2005
80,MDCTによる冠動脈評価,"前原 晶子, 百村 伸一",生体医工学,43,1,3月7日,2005
81,サーモグラフィー付き圧ガイドワイヤーの可能性 ; 冠動脈狭窄病変評価への応用,赤阪 隆史,生体医工学,43,1,24-31,2005
82,リレー随筆他,,生体医工学,43,1,184-187,2005
83,平面型ディスプレイを用いた他覚的瞳孔視野計測技術,"田舎片 悟, 村上 宗司, 福島 省吾, 福永 秀雄, 前田 史篤, 可児 一孝, 田淵 昭雄",生体医工学,43,1,179-183,2005
84,眼電図によるALSコミュニケーションツールの入力動作の研究,"大矢 哲也, 川澄 正史",生体医工学,43,1,172-178,2005
85,超音波による血管壁の弾性率断層像イメージング,"長谷川 英之, 金井 浩",生体医工学,43,1,17-23,2005
86,マッサージチェア利用時における自律神経系生体情報を用いた人間感覚推定手法とマッサージ制御手法の開発,"藤原 義久, 冷水 一也, 源野 広和, 松浦 英文, 安田 昌司, 飯田 健夫, 牧川 方昭",生体医工学,43,1,162-171,2005
87,2チャネル皮膚電気刺激による少数単語の効率的伝達システム,"金 寛, 奥野 竜平, 吉田 正樹, 赤澤 堅造",生体医工学,43,1,151-161,2005
88,携帯型加速度モニタ装置を用いた高齢者の定量歩行評価システム,"竹之下 航洋, 西山 健人, 川越 雅弘, 牧川 方昭",生体医工学,43,1,140-150,2005
89,義手制御系設計をめざしたヒト母指筋伸展時の張力応答の定式化,"奥野 竜平, 吉田 正樹, 赤澤 堅造",生体医工学,43,1,133-139,2005
90,歩行意思推定を用いた歩行シミュレータコントロールによる方向転換動作の実現,"塩澤 成弘, 有馬 秀一, 牧川 方昭",生体医工学,43,1,124-132,2005
91,血管内エコー法,本江 純子,生体医工学,43,1,12月16日,2005
92,電気刺激を利用した痛み定量計測法の開発と実験的痛みによる評価,"嶋津 秀昭, 瀬野 晋一郎, 加藤 幸子, 小林 博子, 秋元 恵実",生体医工学,43,1,117-123,2005
93,体表組織弾性特性の非接触計測の原理的検討とシステム開発,"渡辺 篤志, 小林 博子, 奥田 知規, 川澄 岩雄, 嶋津 秀昭",生体医工学,43,1,109-116,2005
94,リニアマイクロスライサを用いた生体内部観察システムの開発,"工藤 謙一, 木下 泰希, 都 甲洙, 内ヶ崎 万蔵, 佐藤 嘉兵, 樋口 俊郎",生体医工学,43,1,103-108,2005
95,新しい血管の診断治療法,杉浦 清了,生体医工学,43,1,1月2日,2005
96,下顎運動と舌運動を併用したヒューマンインターフェース,"新川 拓也, 河内 了輔",生体医工学,44,1,94-100,2006
97,筋の粘弾性に着目した足部痙性の定量評価法,"村山 大輔, 内山 孝憲, 内田 竜生",生体医工学,44,1,85-93,2006
98,大腿骨CT画像からの皮質骨輪郭抽出,"西村 生哉, 石田 敏真, 村林 俊, 三田村 好矩, 中村 聡喜, 伊藤 浩, 松野 丈夫, 比嘉 昌, 長谷井 稔, 藏本 孝一",生体医工学,44,1,77-84,2006
99,内因性光学的信号による刺激選択性を強調した機能マップの構築,"永井 翠, 鈴木 航, 王 鋼",生体医工学,44,1,71-76,2006
100,局所組織インピーダンスCTのための空間分布推定の理論に関する基礎的研究,"安野 恵実子, 趙 学麗, 木内 陽介, 森本 忠興",生体医工学,44,1,62-70,2006
101,バイオメトリクスのセキュリティ評価方法の開発に向けて,松本 勉,生体医工学,44,1,54-61,2006
102,その他の生体特徴による個人認証,京相 雅樹,生体医工学,44,1,47-53,2006
103,顔による個人認証,佐藤 俊雄,生体医工学,44,1,40-46,2006
104,虹彩による認証システムについて,細矢 雅彦,生体医工学,44,1,33-39,2006
105,バイオメトリクス　?生体特徴計測による個人認証?,清水 孝一,生体医工学,44,1,3月14日,2006
106,非接触型手のひら静脈による個人認証,若林 晃,生体医工学,44,1,27-32,2006
107,リレー随筆他,,生体医工学,44,1,229-230,2006
108,超音波断層像の動画像処理による検査手技支援のための心臓断層面認識,"高良 研一, 井上 博人, 桝田 晃司",生体医工学,44,1,221-228,2006
109,3次元ワイヤ駆動による遠隔超音波診断のための力覚付き操作ハンドルの開発,"野本 悠香梨, 桝田 晃司",生体医工学,44,1,213-220,2006
110,加齢傾向検討のためのガウス混合モデルによる脳PET画像の自動セグメンテーション,"増田 泰, 木村 裕一, 長縄 美香, 千原 國宏, 大城 理",生体医工学,44,1,207-212,2006
111,指静脈パターンを用いた個人認証技術,"河野 美由紀, 梅村 晋一郎",生体医工学,44,1,20-26,2006
112,文脈に基づく類似診療文書検索システム,"岡本 和也, 竹村 匡正, 黒田 知宏, 長瀬 啓介, 吉原 博幸",生体医工学,44,1,199-206,2006
113,非接地容量結合型電極による心電図計測,"丸山 敏弘, 塩澤 成弘, 牧川 方昭",生体医工学,44,1,177-183,2006
114,心室筋興奮到達時間の組織収縮力への影響: シミュレーションによる解析,"陸 建銀, 西 俊文, 芦原 貴司, シュナイダー ナタリー, 天野 晃, 松田 哲也, 小寺 秀俊",生体医工学,44,1,170-176,2006
115,循環動態シミュレーションのための統合マルチドメインシミュレーションシステム,"信秋 裕, 西 俊文, 天野 晃, 阿部 泰之, 松田 哲也",生体医工学,44,1,163-169,2006
116,心拍RRIのローレンツプロット情報に着目した入眠移行期の簡易推定法,"谷田 陽介, 萩原 啓",生体医工学,44,1,156-162,2006
117,指紋による個人認証,笹川 耕一,生体医工学,44,1,15-19,2006
118,光電脈波計測における加速度センサを用いた体動アーチファクトの除去,"今井 文吾, 塩澤 成弘, 牧川 方昭",生体医工学,44,1,148-155,2006
119,チャネル選択にモンテカルロ法を用いた多チャネルEMGによる手の動作認識,"永田 健太郎, 安藤 啓一, 山田 雅史, 曲谷 一成",生体医工学,44,1,138-147,2006
120,DR画像診断の最適ハンギングプロトコル,"森 正人, 堀野 誠人, 西田 慎一郎, 細羽 実, 佐藤 哲大, 湊 小太郎",生体医工学,44,1,130-137,2006
121,"SHM靴装着歩行時における大腿, 下腿の回旋角度","荒木 滋朗, 崔 正烈, 志堂寺 和則, 松木 裕二, 松永 勝也, 日高 滋紀, 木下 信博, 塚本 裕二, 山崎 伸一, 平川 和生, 江西 浩一郎",生体医工学,44,1,122-129,2006
122,導電性平膜による細菌濃縮と遺伝子分離を利用した天然温泉からのレジオネラ属菌検出,"島部 弘之, 菅原 俊継, 木村 主幸, 三澤 顕次, 有澤 準二, 五十嵐 治",生体医工学,44,1,114-121,2006
123,冠動脈造影像のパノラマ動画像の作成,"原口 亮, 中沢 一雄, 関口 博之, 杉本 直三, 英保 茂",生体医工学,44,1,107-113,2006
124,血流量測定による褥瘡発症因子としての圧力とずれ力の相互作用,"作田 譲, 高橋 誠",生体医工学,44,1,101-106,2006
125,序　言 ―バイオメトリクス―,清水 孝一,生体医工学,44,1,1月2日,2006
126,リレー随筆他,,生体医工学,44,2,300-370,2006
127,ArFエキシマレーザ蒸散による無侵襲生体物質光計測のための爪甲光学窓の形成法,"川瀬 悠樹, 岡 泰延, 荒井 恒憲, 伊藤 成史",生体医工学,44,2,293-299,2006
128,動的磁化率コントラスト法および持続的スピンラベル法を用いたラット脳虚血領域での血流量推定値の比較,"加賀谷 亮, 中村 和浩, 近藤 靖, 茨木 正信, ジェフ・ カーショー, 陳 国躍, 菅野 巌",生体医工学,44,2,286-292,2006
129,血管内光学診断のためのHo: YAGレーザ誘起水蒸気気泡による血液排除法,"山下 恵理香, 中谷 絵里子, 二見 光, 岡 泰延, 荒井 恒憲",生体医工学,44,2,278-285,2006
130,医療・福祉ロボットのリスクアセスメント,野方 誠,生体医工学,44,2,271-277,2006
131,臨床医学からみた安全工学への要望と課題,篠原 一彦,生体医工学,44,2,265-270,2006
132,手術戦略デスクと手術安全支援システム,"南部 恭二郎, 伊関 洋",生体医工学,44,2,257-264,2006
133,医療のプロセスマネージメントのための技術とその安全性向上への展開,"大和 裕幸, 稗方 和夫, 安藤 英幸, 湊谷 洋平, 森田 諒",生体医工学,44,2,247-256,2006
134,医療サービスの安全工学的見地からの比較システム分析,岩田 修一,生体医工学,44,2,239-246,2006
135,特集のねらい,佐久間 一郎,生体医工学,44,2,237-238,2006
136,リレー随筆他,,生体医工学,44,3,475-476,2006
137,ホームヘルスケアのための便座内蔵型血圧計測システムの試作,"田中 志信, 本井 幸介, 野川 雅道, 山越 健弘, 山越 憲一",生体医工学,44,3,467-474,2006
138,HUVECの形態およびVEカドヘリン発現に与える静水圧の影響,"大橋 俊朗, 瀬川 圭, 坂元 尚哉, 佐藤 正明",生体医工学,44,3,454-459,2006
139,MR Elastographyにおける定常および非定常振動を用いた撮影法の評価,"笈田 武範, 藤原 卓矢, 天野 晃, 姜 有峯, 堤 定美, 松田 哲也",生体医工学,44,3,445-453,2006
140,胸部単純X線写真における他人による類似差分画像のための類似画像検索システムの開発,"小田 敍弘, 青木 隆敏, 岡崎 浩子, 掛田 伸吾, 興梠 征典, 矢原 勝哉, 庄野 逸",生体医工学,44,3,435-444,2006
141,高効率数値血流解析システムの開発,"岩瀬 英仁, 姫野 龍太郎, 加藤 陽子",生体医工学,44,3,428-434,2006
142,個別化医療とバイオインフォマティックス,鎌谷 直之,生体医工学,44,3,422-427,2006
143,疾病ゲノムとバイオインフォマティクス,水島 洋,生体医工学,44,3,416-421,2006
144,大規模遺伝子発現・多型の情報解析とゲノムワイドな疾患診断,角田 達彦,生体医工学,44,3,410-415,2006
145,臨床・ゲノム・文献情報からのクリニカルバイオインフォマティクス,村松 正明,生体医工学,44,3,403-409,2006
146,トランスレーショナル・リサーチ・インフォマティクス(TRI)の現状と展望,中谷 純,生体医工学,44,3,397-402,2006
147,臨床情報とOMICS情報のバイオインフォマティクス的アプローチ,"牛嶋 大, 宮田 敏, 松浦 正明",生体医工学,44,3,390-396,2006
148,クリニカルバイオインフォマティクスと臨床ゲノム科学,"山崎 憲, 山崎 力",生体医工学,44,3,386-389,2006
149,クリニカルバイオインフォマティクス?その概念と将来への展望,田中 博,生体医工学,44,3,377-385,2006
150,リレー随筆他,,生体医工学,44,4,755-761,2006
151,小動物用超小型心磁計,"駒村 和雄, 宮本 政和, 河合 淳, 足立 善昭, 上原 弦, 春田 康博",生体医工学,44,4,747-754,2006
152,脳卒中片麻痺者におけるTimed Up and Go Testの動作フェーズの検出に関する検討,"東 祐二, 山越 憲一, 藤元 登四郎, 関根 正樹, 田村 俊世",生体医工学,44,4,739-746,2006
153,異方性ファントムのMR顕微鏡拡散テンソル計測,"佐藤 哲大, 湊 小太郎",生体医工学,44,4,735-738,2006
154,画像誘導下手術支援ロボットシステムのためのMRI対応モータ駆動法,"鈴木 孝司, 廖 洪恩, 小林 英津子, 佐久間 一郎",生体医工学,44,4,728-734,2006
155,fMRI-MEG統合解析への線形制約付きアダプティブビームフォーマの適用に関する検討,"大橋 俊平, 隠浪 康行, 鄭 址旭, 濱田 昌司, 小林 哲生",生体医工学,44,4,722-727,2006
156,モーションキャプチャを用いた小動物の非侵襲的呼吸測定法,"堀内 俊克, 川井 実, 渡辺 大祐, 守本 祐司",生体医工学,44,4,707-712,2006
157,レーザー誘起ナノ秒蛍光寿命マッピングによる歯の形成と老化の可視化,"福島 修一郎, 安井 武史, 岩田 哲郎, 荒木 勉",生体医工学,44,4,702-706,2006
158,視覚言語課題遂行に伴う脳磁界信号の時間－周波数解析,"竹内 文也, 鎌田 恭輔, 栗城 眞也",生体医工学,44,4,696-701,2006
159,片麻痺者の歩行遊脚期のcycle-to-cycle制御に基づくFES制御法：床反力を考慮したモデルシミュレーション,"柴田 聡, 渡邉 高志, Achmad ARIFIN, 吉澤 誠, 星宮 望",生体医工学,44,4,687-695,2006
160,混合正規分布の薬物動態パラメータに対する母集団薬物動態解析,"三好 和久, 中尾 早苗, 高橋 裕介, 奥野 竜平, 大本 まさのり, 東 純一, 赤澤 堅造",生体医工学,44,4,680-686,2006
161,経頭蓋磁気刺激における脳と刺激用コイルの高精度位置計測システムの開発,"井上 朋紀, 三島 行雄, 樋脇 治",生体医工学,44,4,674-679,2006
162,3次元MR顕微鏡画像群を対象とするヒト胚子標本データベース検索表示システムの構築,"水田 忍, 番匠 武蔵, 杜 楽宇, 松田 哲也, 山田 重人, 塩田 浩平",生体医工学,44,4,665-673,2006
163,自己隠蔽の回避を目的としたRegion-based Contour Treeによる3次元等値面の分割,"小林 良樹, 水田 忍, 松田 哲也",生体医工学,44,4,658-664,2006
164,ヒト胚子連続切片標本画像からのretrospectiveな3次元再構成を目的とした画像系列の効率的取得,"飯田 智子, 水田 忍, 松田 哲也, 山田 重人, 塩田 浩平",生体医工学,44,4,650-657,2006
165,内視鏡下胎児手術における柔支持マニピュレータの研究,"廖 洪恩, 鈴木 宏和, 松宮 潔, 正宗 賢, 土肥 健純, 千葉 敏雄",生体医工学,44,4,643-649,2006
166,視覚障害者の移動行動プラン形成に関する意思決定支援システムの開発,"宮地 孝明, 前田 義信",生体医工学,44,4,635-642,2006
167,ヒト長母指屈筋の等張性収縮時における伸展に伴う張力増加と収縮レベル・収縮速度・筋長依存性,"大橋 洋平, 内山 孝憲",生体医工学,44,4,628-634,2006
168,足圧情報による歩行状態の推定法,"堀江 直正, 満田 隆, 川村 貞夫",生体医工学,44,4,621-627,2006
169,実心臓に基づく形状及び円筒形状を用いた左心室拍動シミュレーションにおける収縮末期応力分布の比較,"高田 康弘, 陸 建銀, 嶋吉 隆夫, 石川 覚志, 天野 晃, 小寺 秀俊, 松田 哲也",生体医工学,44,4,613-620,2006
170,光コヒーレンストモグラフィを用いたヒト指細動脈の断層イメージング,"藤 利栄, 上田 悦弘, 近江 雅人, 林 直人, 春名 正光",生体医工学,44,4,606-612,2006
171,3D殿部モデルの有限要素解析に基づく褥瘡予防具に関する検討,"田村 勇太, 高橋 誠",生体医工学,44,4,598-605,2006
172,足関節自動底背屈装置の開発,"今戸 啓二, 大西 謙吾, 三浦 篤義, 永利 益嗣, 油布 文枝, 後藤 芳正",生体医工学,44,4,590-597,2006
173,「生体医工学シンポジウム2006」論文特集号の発刊にあたって,木竜 徹,生体医工学,44,4,588-589,2006
174,近赤外スペクトル分析による骨密度計測,"田中 茂雄, 野川 雅道, 山越 憲一",生体医工学,44,4,582-587,2006
175,On中心型網膜受容野モデルによる錯視の成因分析,"葛 盛, 斉藤 俊, 呉 景龍, 伊良皆 啓治",生体医工学,44,4,576-581,2006
176,超音波を利用した高速呼吸センサの開発,"戸田 英樹, 小早川 達, 山田 博, 山海 嘉之",生体医工学,44,4,567-575,2006
177,健常女性を対象とした睡眠時における胃電図の周波数情報解析,"松浦 康之, 横山 清子, 高田 宗樹, 岩瀬 敏, 嶋田 勝彦",生体医工学,44,4,560-566,2006
178,注意条件における脳磁界聴性定常応答の同期の増加とその微分方程式モデル,"田中 慶太, 川勝 真喜, 根本 幾",生体医工学,44,4,551-559,2006
179,関節軟骨組織構造・軟骨細胞と関節のトライボロジー特性,村上 輝夫,生体医工学,44,4,537-544,2006
180,放射光CTによる皮質骨微細形態解析,"松本 健志, 田中 正夫",生体医工学,44,4,517-521,2006
181,骨組織のイメージングと骨疾患の画像診断,曽根 照喜,生体医工学,44,4,511-516,2006
182,骨組織における生体アパタイト結晶の配向性とその力学機能,"中野 貴由, 馬越 佑吉",生体医工学,44,4,503-510,2006
183,骨質の定量評価と薬物による改善,伊東 昌子,生体医工学,44,4,496-502,2006
184,骨芽細胞分化と骨形成に関する転写因子とシグナル伝達機構,"山田 志津香, 林 善彦",生体医工学,44,4,490-495,2006
185,骨細胞における機械的刺激への応答能について,"上岡 寛, 菅原 康代, Murshid A. SAKHR, 石原 嘉人, 本城 正, 山本 照子",生体医工学,44,4,484-489,2006
186,骨のバイオエンジニアリング特集にあたって,田中 正夫,生体医工学,44,4,483,2006
187,せん断流れ場における血栓形成の可視化,"福島 克也, 玉川 雅章, 平本 美記",生体医工学,45,1,99-105,2007
188,全工程微量サンプル蛋白分析用化学ICチップ群の開発,"生田 幸士, 佐竹 宣彦, 大橋 竜也, 柴田 真由子",生体医工学,45,1,92-98,2007
189,複合現実感の車両応用時の生体影響に関する定量的評価,"中島 佐和子, 井野 秀一, 伊福部 達",生体医工学,45,1,84-91,2007
